"TrajID","DTW","EditDist","Frechet","LCSS"
2,3650.02514567323,45,28.5407532415004,5
3,50785.5113768985,47,2307.84365952892,1
4,5906.78721779234,42,1069.2291717753,13
5,2178.41073974716,28,717.981587676952,26
6,1152.71842265189,27,38.962719035697,33
